Feature,Pearson,Spearman,PointBiserial,p_valor_pb,MI_Score,CramersV,Forca_Max,Veredito
velocidade_transportadora_dias,0.5634107640997777,0.3373,0.5634,0.0,0.11181076878637675,0.0,0.5634107640997777,FORTE
velocidade_lojista_dias,0.2147528286346268,0.1324,0.2148,0.0,0.01583128695811986,0.0,0.2148,FORTE
customer_state,,,,0.0,,0.1336,0.1336,FORTE
historico_atraso_seller,0.11613629578058769,0.1034,0.1161,0.0,0.006240299142587613,0.0,0.11613629578058769,FORTE
customer_regiao,,,,8.246815300200998e-143,,0.0777,0.0777,MODERADA
customer_lng,0.075838418999583,,,,,0.0,0.075838418999583,MODERADA
distancia_haversine_km,0.07581318288876356,0.0682,0.0758,1.8754772836195997e-139,0.017085914089732368,0.0,0.07581318288876356,MODERADA
rota_interestadual,0.06525727564764452,0.0653,0.0653,9.285389403990923e-104,0.019963241831047585,0.0,0.0653,MODERADA
freight_value,0.04676579511007429,0.0636,0.0468,3.8593371323604195e-54,0.008966854781959466,0.0,0.0636,MODERADA
customer_lat,0.06186348613483122,,,,,0.0,0.06186348613483122,MODERADA
seller_state,,,,4.235077503058841e-51,,0.0504,0.0504,MODERADA
mes_compra,-0.030471730628944524,-0.0393,-0.0305,6.001592553409307e-24,0.013361490024837774,0.0,0.0393,FRACA
valor_total_pedido,0.026142808460278832,0.0343,0.0261,4.815843723285546e-18,0.017014991508973232,0.0,0.0343,FRACA
product_category_name,,,,9.063101490949506e-12,,0.032,0.032,FRACA
seller_regiao,,,,1.0119223795131218e-19,,0.0288,0.0288,FRACA
price,0.023123516643003585,0.0281,0.0231,1.896247097472561e-14,0.007008093127738979,0.0,0.0281,FRACA
total_itens_pedido,-0.010957606556550521,-0.0263,-0.011,0.00028530128641961243,0.008285485160672179,0.0,0.0263,FRACA
product_weight_g,0.026063054255911686,0.0199,0.0261,6.0695569769153336e-18,0.002700517771230926,0.0,0.0261,FRACA
destino_tipo,,,,1.0427573678651218e-16,,0.0249,0.0249,FRACA
seller_lat,0.023369251016229938,,,,,0.0,0.023369251016229938,FRACA
volume_cm3,0.022303583908703392,0.013,0.0223,1.5144740259683217e-13,0.005756254208990175,0.0,0.022303583908703392,FRACA
tipo_pagamento_principal,,,,6.2657677263281695e-12,,0.0223,0.0223,FRACA
product_length_cm,0.019440873276599276,,,,,0.0,0.019440873276599276,FRACA
frete_ratio,0.018259135836452226,0.0065,0.0183,1.482055190161415e-09,0.018296853612370434,0.0,0.0183,FRACA
product_height_cm,0.01417312747201572,,,,,0.0,0.01417312747201572,FRACA
ticket_medio_alto,0.01159077190236761,0.0116,0.0116,0.00012406013723969249,0.0,0.0,0.0116,FRACA
dia_semana_compra,-0.010227081522299656,-0.0105,-0.0102,0.0007081922171729045,0.004224029128071072,0.0,0.0105,FRACA
product_width_cm,0.007885401052780803,,,,,0.0,0.007885401052780803,FRACA
compra_fds,-0.0064373738693293625,-0.0064,-0.0064,0.03304736041230134,0.003916174863880961,0.0,0.0064373738693293625,FRACA
product_photos_qty,-0.0047098456320243415,,,,,0.0,0.0047098456320243415,FRACA
product_name_lenght,0.003719199498054993,,,,,0.0,0.003719199498054993,FRACA
seller_lng,-0.00012443287968264168,,,,,0.0,0.00012443287968264168,FRACA
product_description_lenght,-3.2757683514053386e-05,,,,,0.0,3.2757683514053386e-05,FRACA
