iter	Passed	Remaining
0	187	93699
1	372	92816
2	559	92731
3	747	92748
4	1026	101653
5	1249	102882
6	1471	103670
7	1660	102125
8	1836	100198
9	2027	99339
10	2228	99052
11	2420	98422
12	2598	97361
13	2800	97233
14	2982	96445
15	3158	95539
16	3347	95113
17	3537	94718
18	3734	94546
19	3922	94148
20	4111	93791
21	4291	93234
22	4477	92865
23	4666	92558
24	4863	92405
25	5061	92281
26	5237	91761
27	5425	91453
28	5613	91172
29	5787	90676
30	5963	90227
31	6149	89933
32	6324	89497
33	6512	89252
34	6694	88947
35	6879	88671
36	7067	88444
37	7261	88286
38	7432	87853
39	7602	87433
40	7783	87139
41	7972	86937
42	8160	86730
43	8333	86368
44	8508	86026
45	8693	85801
46	8889	85677
47	9077	85482
48	9254	85178
49	9440	84963
50	9611	84615
51	9801	84439
52	9986	84227
53	10159	83907
54	10331	83588
55	10506	83303
56	10681	83018
57	10957	83501
58	11160	83418
59	11391	83536
60	11620	83632
61	11686	82560
62	11889	82474
63	12071	82234
64	12248	81971
65	12431	81748
66	12610	81500
67	12791	81264
68	12982	81094
69	13157	80825
70	13349	80660
71	13520	80369
72	13697	80119
73	13894	79985
74	14109	79952
75	14314	79858
76	14515	79743
77	14716	79621
78	14919	79507
79	15112	79341
80	15302	79158
81	15501	79021
82	15694	78850
83	15881	78652
84	16062	78421
85	16269	78322
86	16504	78349
87	16718	78274
88	16901	78052
89	17085	77833
90	17282	77678
91	17358	76982
92	17547	76795
93	17752	76676
94	17945	76506
95	18126	76283
96	18319	76111
97	18525	75990
98	18722	75835
99	18927	75710
100	19155	75674
101	19351	75510
102	19553	75367
103	19747	75193
104	19994	75216
105	20181	75014
106	20367	74807
107	20554	74604
108	20756	74456
109	20956	74298
110	21143	74097
111	21329	73891
112	21517	73691
113	21711	73515
114	21913	73361
115	22103	73169
116	22278	72928
117	22468	72737
118	22662	72558
119	22856	72377
120	23057	72222
121	23246	72025
122	23441	71847
123	23627	71644
124	23831	71494
